"Action","Custom label (SKU)","Category ID","Title","UPC","Price","Quantity","Condition ID","Condition Description","Description","Format","Duration","Item photo URL","C:Card Manufacturer","C:Professionally Graded","C:Professional Grader","C:Grade","C:Certification Number","C:Card Condition","C:Sport","C:Player/Athlete","C:Team","C:Card Name","C:Type","C:Parallel/Variety","C:Features","C:League","C:Autographed","C:Card Number","C:Season","C:Single","C:Original/Reprint","C:Year"
Add,CARD-0-21,183435,Lita WWE Divas Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lita from the WWE Divas set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lita | Set: WWE Divas | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,Lita,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-31,183435,Black Panther Marvel Comics Group Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Black Panther from the Marvel Comics Group set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Black Panther | Set: Marvel Comics Group | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,Black Panther,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-41,183435,King T'Challa Marvel Super Heroes Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw King T'Challa from the Marvel Super Heroes set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: King T'Challa | Set: Marvel Super Heroes | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,King T'Challa,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-51,183435,"Nick Fury, Agent of SHIELD Marvel Comics Group Raw",Does not apply,0,1,4000,Near Mint or Better,"<p>Up for sale is a Raw Nick Fury, Agent of SHIELD from the Marvel Comics Group set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Nick Fury, Agent of SHIELD | Set: Marvel Comics Group | Grade: Raw | Quantity: 1.</p>",FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,"Nick Fury, Agent of SHIELD",,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-61,183435,Deckmaster Magic: The Gathering Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Deckmaster from the Magic: The Gathering set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Deckmaster | Set: Magic: The Gathering | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,Deckmaster,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-71,183435,Julia Hart Black Diamond Sparkling Scripts Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Julia Hart from the Black Diamond Sparkling Scripts set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Julia Hart | Set: Black Diamond Sparkling Scripts | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,Julia Hart,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-81,183435,Julia Hart AEW Black Diamond Sparkling Scripts Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Julia Hart from the AEW Black Diamond Sparkling Scripts set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Julia Hart | Set: AEW Black Diamond Sparkling Scripts | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,Julia Hart,,,Sports Trading Card,,,AEW,No,,,Yes,Original,
Add,CARD-0-101,183435,Arianna Grace Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Arianna Grace from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Arianna Grace | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Arianna Grace,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-111,183435,Arianna Grace Topps WWE Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Arianna Grace from the Topps WWE Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Arianna Grace | Set: Topps WWE Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Arianna Grace,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-121,183435,Dominik Mysterio Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Dominik Mysterio from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Dominik Mysterio | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Dominik Mysterio,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-131,183435,Dominik Mysterio Topps WWE Raw Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Dominik Mysterio from the Topps WWE Raw set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Dominik Mysterio | Set: Topps WWE Raw | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Dominik Mysterio,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
